country,commodity,year,consumption,ending_stocks,exports,imports,production,yield,trade_balance,self_sufficiency,self_sufficiency_capped
Argentina,Beef and veal,2025,2315.6964,0.0,966.3682,7.0182,3275.0464,,959.35,1.4142814230742857,1.4142814230742857
Argentina,Beef and veal,2026,2304.4448,0.0,981.8708,7.0372,3279.2783,,974.8336,1.4230231507389544,1.4230231507389544
Argentina,Beef and veal,2027,2293.8261,0.0,1003.678,7.0114,3290.4928,,996.6666,1.4344996771987204,1.4344996771987204
Argentina,Beef and veal,2028,2287.4584,0.0,1025.7691,6.9866,3306.2409,,1018.7825,1.4453774984498078,1.4453774984498078
Argentina,Beef and veal,2029,2277.2539,0.0,1040.4424,7.0125,3310.6838,,1033.4298999999999,1.4538053047137167,1.4538053047137167
Argentina,Beef and veal,2030,2263.9487,0.0,1059.5632,7.0082,3316.5037,,1052.555,1.4649199869237322,1.4649199869237322
Argentina,Beef and veal,2031,2253.6595,0.0,1087.9548,6.9443,3334.6699,,1081.0104999999999,1.479668911829848,1.479668911829848
Argentina,Beef and veal,2032,2245.6217,0.0,1115.1685,6.891,3353.8992,,1108.2775,1.4935281396684044,1.4935281396684044
Argentina,Beef and veal,2033,2239.127,0.0,1131.3497,6.9069,3363.5698,,1124.4428,1.5021791081970788,1.5021791081970788
Argentina,Beef and veal,2034,2229.6918,0.0,1139.3468,6.972,3362.0666,,1132.3748,1.5078615797932253,1.5078615797932253
Argentina,"Cheese, fresh or processed",2025,413.9077,26.9,68.5353,1.0,481.443,,67.5353,1.1631651211127505,1.1631651211127505
Argentina,"Cheese, fresh or processed",2026,421.82,26.9,67.6263,1.0,488.4463,,66.6263,1.1579495993551752,1.1579495993551752
Argentina,"Cheese, fresh or processed",2027,429.8793,26.9,68.164,1.0,497.0433,,67.164,1.156239204818655,1.156239204818655
Argentina,"Cheese, fresh or processed",2028,437.9348,26.9,68.7019,1.0,505.6367,,67.7019,1.1545935605026136,1.1545935605026136
Argentina,"Cheese, fresh or processed",2029,446.0058,26.9,69.1231,1.0,514.1289,,68.1231,1.1527403903716051,1.1527403903716051
Argentina,"Cheese, fresh or processed",2030,454.0399,26.9,69.1685,1.0,522.2084,,68.1685,1.1501376861372756,1.1501376861372756
Argentina,"Cheese, fresh or processed",2031,462.0662,26.9,69.1563,1.0,530.2225,,68.1563,1.147503323116904,1.147503323116904
Argentina,"Cheese, fresh or processed",2032,470.0709,26.9,69.3521,1.0,538.4231,,68.3521,1.1454082777725658,1.1454082777725658
Argentina,"Cheese, fresh or processed",2033,478.0843,26.9,69.5141,1.0,546.5984,,68.5141,1.143309663170282,1.143309663170282
Argentina,"Cheese, fresh or processed",2034,486.1149,26.9,69.8132,1.0,554.928,,68.8132,1.1415572738050201,1.1415572738050201
Argentina,Maize (corn),2025,25944.6179,4549.1189,29944.4924,4.2873,56492.1655,6.9469,29940.2051,2.1774136631243275,2.1774136631243275
Argentina,Maize (corn),2026,26450.0933,4628.6226,29513.2411,4.2833,56038.5548,6.9969,29508.9578,2.11865244346794,2.11865244346794
Argentina,Maize (corn),2027,26947.6908,4678.99,31974.2304,4.2836,58968.0051,7.0469,31969.9468,2.188239635731608,2.188239635731608
Argentina,Maize (corn),2028,27440.9317,4724.5161,32089.9371,4.2988,59572.0962,7.0969,32085.6383,2.170921047844742,2.170921047844742
Argentina,Maize (corn),2029,27900.8029,4787.6895,32235.1898,4.3111,60194.8549,7.1469,32230.8787,2.1574595941108203,2.1574595941108203
Argentina,Maize (corn),2030,28368.4581,4866.2563,32435.054,4.3174,60877.7615,7.1969,32430.7366,2.145966526816627,2.145966526816627
Argentina,Maize (corn),2031,28858.454,4947.93,32670.3706,4.3194,61606.1789,7.2469,32666.051199999998,2.1347705909679013,2.1347705909679013
Argentina,Maize (corn),2032,29354.3759,5039.4516,32910.0198,4.3213,62351.596,7.2969,32905.6985,2.124098846877545,2.124098846877545
Argentina,Maize (corn),2033,29833.5713,5122.5317,33169.532,4.3212,63081.8622,7.3469,33165.2108,2.1144589618742695,2.1144589618742695
Argentina,Maize (corn),2034,30294.5184,5208.2137,33437.2444,4.3207,63813.124,7.3969,33432.92370000001,2.1064247715520708,2.1064247715520708
Argentina,Pigmeat,2025,835.5532,0.0,9.1254,14.1667,830.5119,,-5.0413,0.9939665122460186,0.9939665122460186
Argentina,Pigmeat,2026,887.6894,0.0,8.9499,14.4444,882.195,,-5.4945,0.9938104476633381,0.9938104476633381
Argentina,Pigmeat,2027,902.5563,0.0,9.3915,13.7652,898.1825,,-4.3736999999999995,0.9951539865158551,0.9951539865158551
Argentina,Pigmeat,2028,919.2568,0.0,9.3673,13.8007,914.8234,,-4.433400000000001,0.9951771909655713,0.9951771909655713
Argentina,Pigmeat,2029,934.0976,0.0,9.1169,14.1798,929.0347,,-5.062900000000001,0.9945799025712089,0.9945799025712089
Argentina,Pigmeat,2030,950.3813,0.0,9.0815,14.2352,945.2276,,-5.153700000000001,0.9945772291605486,0.9945772291605486
Argentina,Pigmeat,2031,965.8296,0.0,9.0281,14.3193,960.5384,,-5.2912,0.9945216009117964,0.9945216009117964
Argentina,Pigmeat,2032,981.3078,0.0,9.0704,14.2525,976.1257,,-5.1821,0.9947191900441431,0.9947191900441431
